date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:23	6777/6777	---M--	200	added ('OK')	image/jpeg	etag:%2250428-1a79-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/food/th2.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/food/th2.jpg	(from http://demo.yosoftware.com/html/berg/cart.html)
21:14:23	6379/6379	---M--	200	added ('OK')	image/jpeg	etag:%2250417-18eb-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/food/th3.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/food/th3.jpg	(from http://demo.yosoftware.com/html/berg/cart.html)
21:14:25	62666/62666	---M--	200	added ('OK')	image/jpeg	etag:%2250419-f4ca-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/food/10.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/food/10.jpg	(from http://demo.yosoftware.com/html/berg/menu.html)
21:14:26	64617/64617	---M--	200	added ('OK')	image/jpeg	etag:%225041a-fc69-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/food/6.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/food/6.jpg	(from http://demo.yosoftware.com/html/berg/menu.html)
21:14:29	38567/38567	---M--	200	added ('OK')	image/jpeg	etag:%225043a-96a7-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/blog/post1.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/blog/post1.jpg	(from http://demo.yosoftware.com/html/berg/product.html)
21:14:31	49142/49142	---M--	200	added ('OK')	image/jpeg	etag:%225044b-bff6-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/blog/post2.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/blog/post2.jpg	(from http://demo.yosoftware.com/html/berg/product.html)
21:14:39	59324/59324	---M--	200	added ('OK')	application/x-font-woff	etag:%225e95f-e7bc-500e545f8d740%22	http://demo.yosoftware.com/html/berg/fonts/simple-line-icons/fonts/Simple-Line-Icons.woff	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/fonts/simple-line-icons/fonts/Simple-Line-Icons.woff	(from http://demo.yosoftware.com/html/berg/css/custom.css)
21:14:44	31380/31380	---M--	200	added ('OK')	image/jpeg	etag:%225042e-7a94-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/food/16.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/food/16.jpg	(from http://demo.yosoftware.com/html/berg/menu.html)
21:14:47	138089/138089	---M--	200	added ('OK')	image/jpeg	etag:%2250449-21b69-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/blog/blog13.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/blog/blog13.jpg	(from http://demo.yosoftware.com/html/berg/gallery-content-2.html)
21:14:48	725/725	---M-Z	200	added ('OK')	text/html	etag:%2246970-2d5-500e545f8d740%22	http://demo.yosoftware.com/html/berg/ajax-gallery.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/ajax-gallery.html	(from http://demo.yosoftware.com/html/berg/gallery.html)
21:14:55	60508/60508	---M--	200	added ('OK')	image/jpeg	etag:%225042f-ec5c-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/food/7.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/food/7.jpg	(from http://demo.yosoftware.com/html/berg/menu.html)
21:15:07	285906/285906	---M--	200	added ('OK')	image/jpeg	etag:%2250441-45cd2-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/blog/blog12.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/blog/blog12.jpg	(from http://demo.yosoftware.com/html/berg/gallery-content-2.html)
21:15:08	3708/3708	---M-Z	200	added ('OK')	text/html	etag:%2246986-e7c-500e545f8d740%22	http://demo.yosoftware.com/html/berg/gallery-content-3.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/gallery-content-3.html	(from http://demo.yosoftware.com/html/berg/gallery-content-2.html)
21:15:08	2572/2572	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202017%2020:15:07%20GMT	http://demo.yosoftware.com/html/berg/blog-content-3.php	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/blog-content-3.php	(from http://demo.yosoftware.com/html/berg/blog-content-3.html)
21:15:11	193266/193266	---M--	200	added ('OK')	image/jpeg	etag:%2250443-2f2f2-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/blog/blog11.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/blog/blog11.jpg	(from http://demo.yosoftware.com/html/berg/gallery-content-2.html)
21:15:15	381943/381943	---M--	200	added ('OK')	image/jpeg	etag:%2250410-5d3f7-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/restaurant-bg.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/restaurant-bg.jpg	(from http://demo.yosoftware.com/html/berg/restaurant.html)
